Dates,AZN
2014-05-12,72.53447
2014-05-13,71.86367
2014-05-14,71.649048
2014-05-15,70.763596
2014-05-16,71.640099
2014-05-19,71.640099
2014-05-20,71.59536
2014-05-21,71.881554
2014-05-22,72.078308
2014-05-23,71.792114
2014-05-27,71.872612
2014-05-28,73.911819
2014-05-29,75.029808
2014-05-30,75.566422
2014-06-02,75.870491
2014-06-03,76.433968
2014-06-04,76.496552
2014-06-05,76.720184
2014-06-06,76.523422
2014-06-09,76.469765
2014-06-10,76.111992
2014-06-11,75.807907
2014-06-12,74.931404
2014-06-13,74.627335
2014-06-16,75.673744
2014-06-17,74.949303
2014-06-18,75.512756
2014-06-19,76.59494
2014-06-20,76.988472
2014-06-23,76.255089
2014-06-24,75.781075
2014-06-25,76.469765
2014-06-26,75.944664
2014-06-27,75.370201
2014-06-30,75.684341
2014-07-01,76.743507
2014-07-02,76.653778
2014-07-03,76.860214
2014-07-07,76.797379
2014-07-08,75.334305
2014-07-09,75.379189
2014-07-10,75.109894
2014-07-11,75.415092
2014-07-14,74.903465
2014-07-15,74.266151
2014-07-16,73.862267
2014-07-17,73.341682
2014-07-18,73.74559
2014-07-21,73.233948
2014-07-22,73.503197
2014-07-23,73.431412
2014-07-24,72.515846
2014-07-25,72.201736
2014-07-28,71.887566
2014-07-29,72.004265
2014-07-30,72.174805
2014-07-31,71.600349
2014-08-01,71.806801
2014-08-04,72.327385
2014-08-05,71.797813
2014-08-06,71.645218
2014-08-07,71.133598
2014-08-08,71.636238
2014-08-11,71.402885
2014-08-12,71.438789
2014-08-13,72.479996
2014-08-14,72.632576
